[2026-05-08T18:34:55.739Z] 🎤 Vaja Thai TTS Listener Started
[2026-05-08T18:34:55.741Z] 🎯 Listening for messages from: pran, soma, sayanprasathan, mue
[2026-05-08T18:34:55.741Z] 🚀 Starting inbox watcher...
[2026-05-08T18:34:55.741Z] 📊 Starting status reporter...
[2026-05-08T20:38:27.847Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:38:57.851Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:39:27.855Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:39:57.857Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:40:27.866Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:40:57.882Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:41:27.893Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:41:57.901Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:42:27.907Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:42:57.917Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:43:27.926Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:43:57.971Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:44:27.976Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:44:57.977Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:45:27.984Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:45:57.989Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:46:28.002Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:46:58.012Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:47:28.020Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:47:58.031Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:48:28.038Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:48:58.040Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:49:28.054Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:49:58.057Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:50:28.068Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:50:58.077Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:51:28.090Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:51:58.095Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:52:28.099Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:52:58.107Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
[2026-05-08T20:53:28.119Z] 📊 Status: 0 pending, 0 processed, 0 summaries generated
